DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),DOXY (millimole/m3),PRES (decibar),PSAL (psu),TEMP (degree_Celsius)
2024-05-03T08:45:40Z,13.511,88.512,10,141.177,10,31.8862,31.1199
2024-05-03T08:45:40Z,13.511,88.512,10,190.646,15,32.468,31.133
2024-05-03T08:45:40Z,13.511,88.512,10,189.598,20,32.4831,31.1234
2024-05-03T08:45:40Z,13.511,88.512,10,194.023,25,32.6918,30.8402
2024-05-03T08:45:40Z,13.511,88.512,10,198.631,30,32.8783,30.2237
2024-05-03T08:45:40Z,13.511,88.512,10,202.175,35,32.8754,29.4856
2024-05-03T08:45:40Z,13.511,88.512,10,202.025,40,32.9167,29.4018
2024-05-03T08:45:40Z,13.511,88.512,10,204.764,45,32.7785,28.5694
2024-05-03T08:45:40Z,13.511,88.512,10,204.983,50,32.7584,27.9846
2024-05-03T08:45:40Z,13.511,88.512,10,202.903,55,32.8635,27.614
2024-05-03T08:45:40Z,13.511,88.512,10,197.61,60,32.9928,27.357
2024-05-03T08:45:40Z,13.511,88.512,10,181.31,65,33.2575,27.3822
2024-05-03T08:45:40Z,13.511,88.512,10,147.656,70,33.7594,27.483
2024-05-03T08:45:40Z,13.511,88.512,75,86.444,75,34.115,26.8971
2024-05-03T08:45:40Z,13.511,88.512,80,47.079,80,34.3769,26.3014
2024-05-03T08:45:40Z,13.511,88.512,84,38.302,85,34.4732,25.8904
2024-05-03T08:45:40Z,13.511,88.512,89,32.744,90,34.5865,25.3166
2024-05-03T08:45:40Z,13.511,88.512,94,26.357,95,34.676,24.5723
2024-05-03T08:45:40Z,13.511,88.512,99,15.064,100,34.6797,23.6852
2024-05-03T08:45:40Z,13.511,88.512,104,6.409,105,34.6976,22.7473
2024-05-03T08:45:40Z,13.511,88.512,109,4.606,110,34.7586,22.0049
2024-05-03T08:45:40Z,13.511,88.512,114,2.983,115,34.7696,21.5734
2024-05-03T08:45:40Z,13.511,88.512,119,2.728,120,34.8002,20.7756
2024-05-03T08:45:40Z,13.511,88.512,124,3.599,125,34.8126,20.2495
2024-05-03T08:45:40Z,13.511,88.512,129,3.497,130,34.8233,19.5275
2024-05-03T08:45:40Z,13.511,88.512,134,1.929,135,34.8423,18.9129
2024-05-03T08:45:40Z,13.511,88.512,139,2.196,140,34.8554,18.3482
2024-05-03T08:45:40Z,13.511,88.512,144,2.769,145,34.8778,17.8178
2024-05-03T08:45:40Z,13.511,88.512,149,2.19,150,34.8959,17.2636
2024-05-03T08:45:40Z,13.511,88.512,154,2.625,155,34.9117,16.7321
2024-05-03T08:45:40Z,13.511,88.512,159,3.448,160,34.9372,16.3239
2024-05-03T08:45:40Z,13.511,88.512,164,3.237,165,34.9464,15.9951
2024-05-03T08:45:40Z,13.511,88.512,169,3.146,170,34.9505,15.7651
2024-05-03T08:45:40Z,13.511,88.512,174,3.391,175,34.9643,15.3291
2024-05-03T08:45:40Z,13.511,88.512,179,3.351,180,34.9783,14.7895
2024-05-03T08:45:40Z,13.511,88.512,184,2.549,185,34.9914,14.4336
2024-05-03T08:45:40Z,13.511,88.512,189,1.721,190,34.9935,14.2381
2024-05-03T08:45:40Z,13.511,88.512,194,1.876,195,34.9918,14.1218
2024-05-03T08:45:40Z,13.511,88.512,199,2.284,200,34.9993,13.9052
2024-05-03T08:45:40Z,13.511,88.512,204,2.621,205,35.0038,13.7232
